,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
341,Sweden,Europe,4701002.0,7.243281235833333,0.8428805237315862,1881,1886
342,United Kingdom,Europe,36280791.0,9.243916666666665,0.07809957696062408,1881,1886
343,United States,Americas,56961007.0,2.520945333333333,0.4884001640854896,1881,1886
344,Argentina,Americas,3061098.0,11.725716666666665,4.716859716859716,1882,1887
345,Austria,Europe,5257929.0,16.407213333333335,2.4684843154500147,1882,1887
346,Belgium,Europe,5912231.0,9.27418,0.7241448289657937,1882,1887
347,Brazil,Americas,13485883.0,32.872503333333334,-1.3906678865507782,1882,1887
348,Canada,Americas,4687459.0,9.730906666666668,0.10113027959548049,1882,1887
349,Chile,Americas,2617159.0,11.431666666666667,0.6607275426874537,1882,1887
350,Denmark,Europe,2229902.0,7.2611335,1.3833660039204698,1882,1887
351,Finland,Europe,2262810.0,7.947716666666667,1.209593326381646,1882,1887
352,France,Europe,39300458.0,16.998408333333334,-0.340005483959418,1882,1887
353,Germany,Europe,47182190.0,14.736148333333333,2.259054634745241,1882,1887
354,Greece,Europe,4372134.0,26.012238333333332,3.9370829361296478,1882,1887
355,India,Asia,269520547.0,8.211488666666666,2.234036727908486,1882,1887
356,Italy,Europe,30773692.0,19.700051666666667,1.1389365351629488,1882,1887
357,Japan,Asia,39236630.0,1.1765493333333332,4.239829270521618,1882,1887
358,Netherlands,Europe,4377246.0,13.823196666666666,1.954602774274905,1882,1887
359,New Zealand,Oceania,617244.0,13.346966666666667,-0.23055746730901605,1882,1887
360,Norway,Europe,1978733.0,7.1088933333333335,0.3322784810126578,1882,1887
361,Portugal,Europe,4895120.0,9.622845,2.4667931688804545,1882,1887
362,Russia,Europe,57649761.0,16.379828333333332,2.764839481534871,1882,1887
363,Spain,Europe,17483504.0,11.665951666666666,-1.3036726916564612,1882,1887
364,Sweden,Europe,4722109.0,7.492136633166666,0.9940526762956647,1882,1887
365,United Kingdom,Europe,36569128.0,9.188595,0.283936832030629,1882,1887
366,United States,Americas,58242459.0,2.4179273333333335,0.1803570950136857,1882,1887
367,Argentina,Americas,3158873.0,11.078248333333335,5.016305959086864,1883,1888
368,Austria,Europe,5304353.0,16.678303333333332,1.5393354160749784,1883,1888
369,Belgium,Europe,5968605.0,9.581255,0.6503091960901664,1883,1888
370,Brazil,Americas,13739900.0,32.53802833333334,-1.6180620884289754,1883,1888
371,Canada,Americas,4739885.0,9.775644999999999,1.5250675472830988,1883,1888
372,Chile,Americas,2657625.0,11.265,-0.49198658218412294,1883,1888
