,Country,Region,Population,Average Government Expenditure as % of GDP,Annualized percentage change in GDP per capita USD,start_year,end_year
1874,Mexico,Americas,19510841.0,7.824702666666667,3.384360681340781,1934,1939
1875,Netherlands,Europe,8760124.0,13.147105000000002,2.9026495310695566,1934,1939
1876,New Zealand,Oceania,1619373.0,21.132831666666668,6.262351946801892,1934,1939
1877,Norway,Europe,2972974.0,9.428988333333335,4.069570141612822,1934,1939
1878,Peru,Americas,6339585.0,7.078743333333333,1.8281062483094468,1934,1939
1879,Portugal,Europe,7566417.0,9.923343000000001,-0.39695044145122704,1934,1939
1880,Russia,Europe,92535473.0,5.0539250000000004,6.901651247932161,1934,1939
1881,South Africa,Africa,10528607.0,20.741808333333335,5.411891012856018,1934,1939
1882,Spain,Europe,25514739.0,17.541409414380478,-5.273527980457993,1934,1939
1883,Sweden,Europe,6354332.0,12.51694268,4.104715370357415,1934,1939
1884,Switzerland,Europe,4204685.0,8.459343333333335,-0.3246335399402889,1934,1939
1885,United Kingdom,Europe,47890226.0,25.59199,2.2317336522534204,1934,1939
1886,United States,Americas,128160070.0,10.179470666666667,5.207623930358318,1934,1939
1887,Venezuela,Americas,4065897.0,12.279544000000001,8.35659377947724,1934,1939
1888,Argentina,Americas,14078649.0,10.391201666666667,1.0483102584657455,1935,1940
1889,Australia,Oceania,6967916.0,8.138513333333334,3.001747509217867,1935,1940
1890,Austria,Europe,6725734.0,22.378294224788505,6.372270709189798,1935,1940
1891,Belgium,Europe,8315772.0,25.358046202138027,-1.3945956220517974,1935,1940
1892,Brazil,Americas,41568218.0,9.63508,1.6706346388820625,1935,1940
1893,Bulgaria,Europe,6575077.0,16.562455,6.136867965681203,1935,1940
1894,Canada,Americas,11453308.0,15.16335,6.322156120708278,1935,1940
1895,Chile,Americas,5492530.0,12.855303,2.792414551269684,1935,1940
1896,Colombia,Americas,9311615.0,4.933333333333333,2.4779321229736917,1935,1940
1897,Denmark,Europe,3844754.0,10.574766833333333,-1.3647360238170703,1935,1940
1898,Finland,Europe,3695558.0,23.637092166666665,0.8102911424177073,1935,1940
1899,France,Europe,40337546.0,22.606888056774736,-0.2158848209455222,1935,1940
1900,Germany,Europe,71740083.0,20.93286286976964,5.5716722890387205,1935,1940
1901,Greece,Europe,7310983.0,24.48864666723557,-2.1662123567850244,1935,1940
1902,Honduras,Americas,1246523.0,7.395551666666667,0.43203064434693683,1935,1940
1903,Hungary,Europe,9216204.0,3.5871556666666664,1.2238027255622619,1935,1940
1904,Iceland,Europe,120892.0,11.520951666666667,3.860151183798477,1935,1940
1905,India,Asia,373766276.0,6.950206666666666,0.16550292871242434,1935,1940
1906,Ireland,Europe,2908297.0,23.647301199999998,,1935,1940
1907,Italy,Europe,43602046.0,28.98651,1.773245991941308,1935,1940
1908,Japan,Asia,73591941.0,4.349136833333334,5.00100955603664,1935,1940
1909,Mexico,Americas,19982850.0,7.994311,2.173953639340076,1935,1940
1910,Netherlands,Europe,8868956.0,13.843867355782374,-0.4002899680235372,1935,1940
1911,New Zealand,Oceania,1638415.0,20.71867,4.901975912497281,1935,1940
1912,Norway,Europe,2994493.0,10.215880910290648,1.2243943811598657,1935,1940
1913,Peru,Americas,6444987.0,7.219024999999999,0.39868374471454526,1935,1940
1914,Portugal,Europe,7651628.0,10.203352,-0.655144779425787,1935,1940
1915,Russia,Europe,93390010.0,5.162183333333334,5.915625654936396,1935,1940
1916,South Africa,Africa,10736810.0,21.907605,4.187299223865182,1935,1940
1917,Spain,Europe,25747164.0,18.37667774771381,-3.5906802264524584,1935,1940
1918,Sweden,Europe,6393377.0,14.381842358333335,1.567406940826932,1935,1940
1919,Switzerland,Europe,4233223.0,10.523204999999999,0.6735769792033164,1935,1940
1920,United Kingdom,Europe,48108804.0,26.485416666666666,3.403716882895269,1935,1940
1921,United States,Americas,129417367.0,9.971579,4.397601429678488,1935,1940
1922,Venezuela,Americas,4146367.0,12.981334666666667,5.697278244502013,1935,1940
1923,Argentina,Americas,14341093.0,10.380668333333334,1.928647735300637,1936,1941
1924,Australia,Oceania,7059648.0,9.077581666666667,4.238443128320868,1936,1941
1925,Austria,Europe,6740236.0,24.242175197583986,7.083663013872021,1936,1941
1926,Belgium,Europe,8343998.0,24.817081259982576,-2.3671392097920574,1936,1941
1927,Brazil,Americas,42575027.0,9.857697833333333,1.1306473599399736,1936,1941
1928,Bulgaria,Europe,6634949.0,16.655668333333335,1.5535114372375425,1936,1941
1929,Canada,Americas,11629639.0,16.71698,7.967863235695316,1936,1941
1930,Chile,Americas,5592215.0,13.1381425,2.120209623609881,1936,1941
1931,Colombia,Americas,9500171.0,5.116666666666666,1.4806776592109827,1936,1941
1932,Denmark,Europe,3882124.0,11.659154166666667,-3.879469763905574,1936,1941
1933,Finland,Europe,3723889.0,30.621880500000003,0.25884401059386164,1936,1941
1934,France,Europe,40401955.0,22.26999500299893,-4.85752059592447,1936,1941
1935,Germany,Europe,71850770.0,21.842107240652584,5.110579045758845,1936,1941
1936,Greece,Europe,7367696.0,24.76793434211754,-5.257448835957634,1936,1941
1937,Honduras,Americas,1272738.0,7.109196666666667,0.06883108504422975,1936,1941
1938,Hungary,Europe,9245400.0,3.9913901666666667,0.06222780175599851,1936,1941
1939,Iceland,Europe,122625.0,11.161901666666667,6.525232616215715,1936,1941
1940,India,Asia,374175756.0,6.6946,-0.18066965387533163,1936,1941
1941,Ireland,Europe,2909818.0,23.15987766666667,0.0,1936,1941
1942,Italy,Europe,43906421.0,31.491361666666666,2.12637058619487,1936,1941
1943,Japan,Asia,74587386.0,4.621339833333333,4.582032290977622,1936,1941
1944,Mexico,Americas,20533490.0,8.187330833333332,2.297836392395647,1936,1941
1945,Netherlands,Europe,8981176.0,14.821774450228595,-2.680718938897031,1936,1941
1946,New Zealand,Oceania,1659762.0,20.49353,0.971383435385631,1936,1941
1947,Norway,Europe,3018361.0,11.105046015095253,0.37650738295960107,1936,1941
1948,Peru,Americas,6553250.0,7.780708333333334,-0.5319450763145883,1936,1941
1949,Portugal,Europe,7733465.0,10.2280505,2.7815832826354026,1936,1941
1950,Russia,Europe,94252439.0,5.283848789088946,2.9364096895898584,1936,1941
1951,South Africa,Africa,10946998.0,23.10155,2.862821033019558,1936,1941
1952,Spain,Europe,25977393.0,19.579721081047143,2.1043405898480527,1936,1941
1953,Sweden,Europe,6440733.0,16.930736556666666,0.30906260025755916,1936,1941
1954,Switzerland,Europe,4267324.0,12.403943333333332,-0.18234382091005807,1936,1941
1955,United Kingdom,Europe,48317261.0,31.082005,4.391213621450518,1936,1941
1956,United States,Americas,130865641.0,10.197377666666666,5.10200228588531,1936,1941
1957,Venezuela,Americas,4240690.0,13.107549166666667,3.4922874027997652,1936,1941
1958,Argentina,Americas,14613051.0,10.352358333333333,0.7609540895416433,1937,1942
1959,Australia,Oceania,7163293.0,10.855591666666667,5.48687062733253,1937,1942
1960,Austria,Europe,6758902.0,26.58493237801666,4.7635489187138225,1937,1942
1961,Belgium,Europe,8372598.0,24.453152703760995,-4.23028634997954,1937,1942
1962,Brazil,Americas,43657003.0,10.262036333333333,-0.32508815254644885,1937,1942
1963,Bulgaria,Europe,6693150.0,17.538885,-0.9386172629546441,1937,1942
1964,Canada,Americas,11825718.0,21.761260000000004,9.472041350260984,1937,1942
1965,Chile,Americas,5695510.0,13.242778000000001,0.30503871316402975,1937,1942
1966,Colombia,Americas,9708983.0,5.3500000000000005,0.9077686883048663,1937,1942
1967,Denmark,Europe,3922171.0,12.927645833333335,-3.9684650303248192,1937,1942
1968,Finland,Europe,3753257.0,35.1196555,-0.6726156575747488,1937,1942
1969,France,Europe,40507882.0,22.983718763077707,-7.851178525529379,1937,1942
1970,Germany,Europe,71830612.0,22.774846900947825,4.143906349762783,1937,1942
1971,Greece,Europe,7410484.0,25.214555046399184,-10.62620953607578,1937,1942
1972,Honduras,Americas,1300214.0,6.8021183333333335,-0.936494591904713,1937,1942
1973,Hungary,Europe,9262582.0,4.578478666666666,1.526802790289139,1937,1942
1974,Iceland,Europe,124535.0,11.012185,8.810659256722753,1937,1942
1975,India,Asia,372999886.0,6.970648166666667,0.0741016004299766,1937,1942
1976,Ireland,Europe,2910825.0,22.882026666666665,0.6368607426940898,1937,1942
1977,Italy,Europe,44192767.0,34.196088333333336,-0.910039117883954,1937,1942
1978,Japan,Asia,75612006.0,4.821302333333333,3.9192124041257603,1937,1942
1979,Mexico,Americas,21166520.0,8.432172333333334,2.5644874302681586,1937,1942
1980,Netherlands,Europe,9096853.0,16.118095596425132,-5.443449199258121,1937,1942
