,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
6255,Indonesia,Asia,225938592.0,22.94723,19.1681421996442,1999,2004
6256,Iran,Asia,69061680.0,23.400458333333333,42.33911560414461,1999,2004
6257,Iraq,Asia,27858950.0,92.14407446,,1999,2004
6258,Ireland,Europe,4031961.0,34.602561666666666,32.93565024036409,1999,2004
6259,Israel,Asia,6595990.0,61.62017666666666,2.299420898341009,1999,2004
6260,Italy,Europe,57860664.0,53.210445,9.992348553691578,1999,2004
6261,Japan,Asia,127671288.0,39.55697166666667,5.9239779967695805,1999,2004
6262,Jordan,Asia,5532426.0,38.95637496166667,26.539390667960117,1999,2004
6263,Kazakhstan,Asia,15521921.0,11.620916603500001,65.40973606600748,1999,2004
6264,Kenya,Africa,34791836.0,25.191701335,7.568389564116407,1999,2004
6265,Kuwait,Asia,2153485.0,41.154810205,67.64554613410402,1999,2004
6266,Kyrgyz Republic,Asia,5137043.0,29.836762850000003,,1999,2004
6267,Laos,Asia,5768170.0,20.874408874,,1999,2004
6268,Latvia,Europe,2263453.0,37.10850583166667,43.552521894045285,1999,2004
6269,Lebanon,Asia,4574799.0,52.654718806000005,,1999,2004
6270,Lesotho,Africa,1985386.0,50.55131677,4.166373859142181,1999,2004
6271,Liberia,Africa,3122448.0,12.780394142,,1999,2004
6272,Libya,Africa,5687561.0,37.49806671666666,56.58819600517076,1999,2004
6273,Lithuania,Europe,3422593.0,35.362614476,,1999,2004
6274,Macedonia,Europe,2075879.0,38.42518267,10.725969461903183,1999,2004
6275,Madagascar,Africa,18250776.0,22.297614428333333,2.734557091933021,1999,2004
6276,Malawi,Africa,12411343.0,36.76872710333333,,1999,2004
6277,Malaysia,Asia,25333250.0,31.516011618333334,19.393212117778134,1999,2004
6278,Mali,Africa,12751997.0,23.535600826,,1999,2004
6279,Mauritania,Africa,2946583.0,2.738188307833333,11.857400159878884,1999,2004
6280,Mauritius,Africa,1250388.0,27.937420166,,1999,2004
6281,Mexico,Americas,103945816.0,26.103218333333334,11.714925329591242,1999,2004
6282,Moldova,Europe,4046998.0,37.12392121,29.27295153253162,1999,2004
6283,Mongolia,Asia,2537955.0,35.328320825,54.691120025977,1999,2004
6284,Montenegro,Europe,632550.0,40.95024672333333,,1999,2004
6285,Morocco,Africa,30033124.0,30.403341958333332,18.289012717518748,1999,2004
6286,Mozambique,Africa,19694412.0,26.03979032166667,-13.502404738008822,1999,2004
6287,Myanmar,Asia,47338444.0,19.467879568333334,59.80110589602339,1999,2004
6288,Namibia,Africa,1939405.0,32.169335055,13.268436565926557,1999,2004
6289,Nepal,Asia,26003970.0,15.164317136,,1999,2004
6290,Netherlands,Europe,16196036.0,48.98736333333333,8.990326039548368,1999,2004
6291,New Zealand,Oceania,4081415.0,31.89490166666667,15.226315208385731,1999,2004
6292,Nicaragua,Americas,5386220.0,28.81862666666667,17.18021037601247,1999,2004
6293,Niger,Africa,13366889.0,20.562346993333332,-1.5993499082678886,1999,2004
6294,Nigeria,Africa,136756848.0,40.899053928,,1999,2004
6295,Norway,Europe,4592284.0,47.48542,26.785017730773863,1999,2004
6296,Oman,Asia,2468860.0,39.92416336833333,32.934584963431135,1999,2004
6297,Pakistan,Asia,170648624.0,23.023756666666667,17.75649964483779,1999,2004
6298,Panama,Americas,3243310.0,28.738923333333332,10.064995389738307,1999,2004
6299,Paraguay,Americas,5416327.0,24.152634333333335,14.100847957949437,1999,2004
6300,Peru,Americas,27893914.0,21.229563666666667,13.217559059834416,1999,2004
6301,Philippines,Asia,84607504.0,23.48999166666667,16.47687519756382,1999,2004
6302,Poland,Europe,38596040.0,46.14635166666667,23.6156478211905,1999,2004
6303,Portugal,Europe,10501523.0,45.349851666666666,6.8740564929794745,1999,2004
6304,Qatar,Asia,777951.0,34.01312221333333,85.30610156038681,1999,2004
6305,Romania,Europe,21289292.0,38.991616666666665,59.22707411762411,1999,2004
6306,Russia,Europe,144353648.0,37.373378333333335,59.324762267868735,1999,2004
6307,Rwanda,Africa,8791855.0,21.912165183333332,18.77284413197571,1999,2004
6308,Sao Tome and Principe,Africa,157714.0,42.275744286000005,,1999,2004
6309,Saudi Arabia,Asia,23661804.0,39.08945855166667,37.06015058454373,1999,2004
6310,Senegal,Africa,10698699.0,21.829534574,,1999,2004
6311,Serbia,Europe,7863399.0,41.749365026,,1999,2004
6312,Seychelles,Africa,84733.0,58.53807730333333,-3.5115023847996585,1999,2004
6313,Sierra Leone,Africa,5533329.0,26.181429938,,1999,2004
6314,Singapore,Asia,4270407.0,18.674124648333333,19.783331020317174,1999,2004
6315,Slovakia,Europe,5374932.0,33.97959732333333,20.512434135231494,1999,2004
6316,Slovenia,Europe,1996731.0,43.424696175,16.14253744772869,1999,2004
6317,South Africa,Africa,48556064.0,30.738121666666668,22.72007895292385,1999,2004
6318,South Korea,Asia,47727288.0,20.07664366666667,5.528046678584797,1999,2004
6319,South Korea,Asia,47727288.0,20.07664366666667,5.528046678584797,1999,2004
6320,South Korea,Asia,47727288.0,20.07664366666667,3.7666915921129585,1999,2004
6321,Spain,Europe,42959672.0,41.820051666666664,17.763732732565842,1999,2004
6322,Sri Lanka,Asia,19490434.0,30.706477745,12.816787418819109,1999,2004
